,Subject,Start Date,Start Time,Date
70,LCS 2020 Spring - CLG vs DIG,2020-03-14,17:00,2020-03-14 17:00:00
71,LCS 2020 Spring - 100 vs C9,2020-03-14,18:00,2020-03-14 18:00:00
72,LCS 2020 Spring - IMT vs TSM,2020-03-14,19:00,2020-03-14 19:00:00
73,LCS 2020 Spring - TL vs EG,2020-03-14,20:00,2020-03-14 20:00:00
74,LCS 2020 Spring - DIG vs EG,2020-03-15,15:00,2020-03-15 15:00:00
75,LCS 2020 Spring - FLY vs IMT,2020-03-15,16:00,2020-03-15 16:00:00
76,LCS 2020 Spring - GG vs TL,2020-03-15,17:00,2020-03-15 17:00:00
77,LCS 2020 Spring - CLG vs C9,2020-03-15,18:00,2020-03-15 18:00:00
78,LCS 2020 Spring - GG vs TSM,2020-03-16,20:30,2020-03-16 20:30:00
79,LCS 2020 Spring - 100 vs FLY,2020-03-16,21:30,2020-03-16 21:30:00
80,LCS 2020 Spring - 100 vs TSM,2020-03-21,17:00,2020-03-21 17:00:00
81,LCS 2020 Spring - C9 vs EG,2020-03-21,18:00,2020-03-21 18:00:00
82,LCS 2020 Spring - FLY vs TL,2020-03-21,19:00,2020-03-21 19:00:00
83,LCS 2020 Spring - GG vs CLG,2020-03-21,20:00,2020-03-21 20:00:00
84,LCS 2020 Spring - DIG vs IMT,2020-03-21,21:00,2020-03-21 21:00:00
85,LCS 2020 Spring - GG vs FLY,2020-03-22,16:00,2020-03-22 16:00:00
86,LCS 2020 Spring - DIG vs TSM,2020-03-22,17:00,2020-03-22 17:00:00
87,LCS 2020 Spring - TL vs C9,2020-03-22,18:00,2020-03-22 18:00:00
88,LCS 2020 Spring - IMT vs EG,2020-03-22,19:00,2020-03-22 19:00:00
89,LCS 2020 Spring - 100 vs CLG,2020-03-22,20:00,2020-03-22 20:00:00
